Label,URI,Parent URI,Sort Priority,Description,Local Notation
"Herefordshire, County of",http://data.europa.eu/nuts/code/UKG11,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,104,,
Worcestershire,http://data.europa.eu/nuts/code/UKG12,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,105,,
Warwickshire,http://data.europa.eu/nuts/code/UKG13,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,106,,
Telford and Wrekin,http://data.europa.eu/nuts/code/UKG21,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,107,,
Shropshire CC,http://data.europa.eu/nuts/code/UKG22,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,108,,
Stoke-on-Trent,http://data.europa.eu/nuts/code/UKG23,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,109,,
Staffordshire CC,http://data.europa.eu/nuts/code/UKG24,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,110,,
Birmingham,http://data.europa.eu/nuts/code/UKG31,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,111,,
Solihull,http://data.europa.eu/nuts/code/UKG32,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,112,,
Coventry,http://data.europa.eu/nuts/code/UKG33,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,113,,
Dudley,http://data.europa.eu/nuts/code/UKG36,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,114,,
Sandwell,http://data.europa.eu/nuts/code/UKG37,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,115,,
Walsall,http://data.europa.eu/nuts/code/UKG38,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,116,,
Wolverhampton,http://data.europa.eu/nuts/code/UKG39,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,117,,
Peterborough,http://data.europa.eu/nuts/code/UKH11,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,118,,
Cambridgeshire CC,http://data.europa.eu/nuts/code/UKH12,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,119,,
Suffolk,http://data.europa.eu/nuts/code/UKH14,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,120,,
Norwich and East Norfolk,http://data.europa.eu/nuts/code/UKH15,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,121,,
North and West Norfolk,http://data.europa.eu/nuts/code/UKH16,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,122,,
Breckland and South Norfolk,http://data.europa.eu/nuts/code/UKH17,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,123,,
Luton,http://data.europa.eu/nuts/code/UKH21,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,124,,
Hertfordshire,http://data.europa.eu/nuts/code/UKH23,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,125,,
Bedford,http://data.europa.eu/nuts/code/UKH24,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,126,,
Central Bedfordshire,http://data.europa.eu/nuts/code/UKH25,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,127,,
Southend-on-Sea,http://data.europa.eu/nuts/code/UKH31,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,128,,
Thurrock,http://data.europa.eu/nuts/code/UKH32,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,129,,
Essex Haven Gateway,http://data.europa.eu/nuts/code/UKH34,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,130,,
West Essex,http://data.europa.eu/nuts/code/UKH35,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,131,,
Heart of Essex,http://data.europa.eu/nuts/code/UKH36,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,132,,
