TrueSitcNotation,Label,Notation,Parent Notation,Sort Priority
058.95,"Apricots, cherries or peaches, prepared or preserved",05895,05800,391
058.96,"Fruits or edible parts of plants, prepared or preserved, nes",05896,05800,392
058.97,"Mixtures of fruits or other edible parts of plants, prepared or preserved, nes",05897,05800,393
059,"Fruit & veg juices, unfermented & not ctg added spirit, whether or not ctg added sugar/other sweetener",05900,05,394
059.1,Orange juice,05910,05900,395
059.2,Grapefruit juice,05920,05900,396
059.3,Juice of any other single citrus fruit,05930,05900,397
059.9,Juice of any single fruit (other than citrus) or vegetable; mixture of fruit or vegetable juices,05990,05900,398
059.91,Pineapple juice,05991,05900,399
059.92,Tomato juice,05992,05900,400
059.93,Grape juice (inc grape must),05993,05900,401
059.94,Apple juice,05994,05900,402
