NUTS Geography,Year,ONS Functional Category,Flow Directions,Value
UKF,2013,all,exports,4963
UKG,2013,primary-utilities,exports,27
UKG,2013,manufacturing,exports,571
UKG,2013,transport,exports,484
UKG,2013,travel,exports,1075
UKG,2013,construction,exports,30
UKG,2013,wholesale-motor,exports,290
UKG,2013,retail,exports,69
UKG,2013,information-communication,exports,782
UKG,2013,real-estate,exports,698
UKG,2013,insurance-pension,exports,1698
UKG,2013,financial,exports,2136
UKG,2013,administrative-support,exports,184
UKG,2013,other,exports,45
UKG,2013,all,exports,8088
UKH,2013,primary-utilities,exports,22
UKH,2013,manufacturing,exports,1241
UKH,2013,transport,exports,1748
UKH,2013,travel,exports,1131
UKH,2013,construction,exports,97
UKH,2013,wholesale-motor,exports,431
UKH,2013,retail,exports,86
UKH,2013,information-communication,exports,1480
UKH,2013,real-estate,exports,2891
UKH,2013,insurance-pension,exports,1459
UKH,2013,financial,exports,2116
UKH,2013,administrative-support,exports,350
UKH,2013,other,exports,34
UKH,2013,all,exports,13086
UKI,2013,primary-utilities,exports,27
UKI,2013,manufacturing,exports,802
UKI,2013,transport,exports,9114
UKI,2013,travel,exports,14655
UKI,2013,construction,exports,819
UKI,2013,wholesale-motor,exports,3132
UKI,2013,retail,exports,476
UKI,2013,information-communication,exports,12643
UKI,2013,real-estate,exports,15026
UKI,2013,insurance-pension,exports,3076
UKI,2013,financial,exports,28329
UKI,2013,administrative-support,exports,3922
UKI,2013,other,exports,1161
UKI,2013,all,exports,93181
UKJ,2013,primary-utilities,exports,111
UKJ,2013,manufacturing,exports,2087
UKJ,2013,transport,exports,4229
UKJ,2013,travel,exports,2554
UKJ,2013,construction,exports,51
UKJ,2013,wholesale-motor,exports,1963
UKJ,2013,retail,exports,136
UKJ,2013,information-communication,exports,6260
UKJ,2013,real-estate,exports,6560
UKJ,2013,insurance-pension,exports,5340
UKJ,2013,financial,exports,2579
UKJ,2013,administrative-support,exports,1187
UKJ,2013,other,exports,350
UKJ,2013,all,exports,33407
UKK,2013,primary-utilities,exports,40
UKK,2013,manufacturing,exports,1735
UKK,2013,transport,exports,1093
UKK,2013,travel,exports,1387
UKK,2013,construction,exports,51
UKK,2013,wholesale-motor,exports,607
UKK,2013,retail,exports,53
UKK,2013,information-communication,exports,719
UKK,2013,real-estate,exports,767
UKK,2013,insurance-pension,exports,1555
UKK,2013,financial,exports,2129
UKK,2013,administrative-support,exports,197
UKK,2013,other,exports,29
UKK,2013,all,exports,10362
UKL,2013,primary-utilities,exports,19
UKL,2013,manufacturing,exports,909
UKL,2013,transport,exports,588
UKL,2013,travel,exports,448
UKL,2013,construction,exports,12
UKL,2013,wholesale-motor,exports,91
UKL,2013,retail,exports,28
UKL,2013,information-communication,exports,158
UKL,2013,real-estate,exports,260
UKL,2013,insurance-pension,exports,1194
UKL,2013,financial,exports,930
UKL,2013,administrative-support,exports,62
UKL,2013,other,exports,2
UKL,2013,all,exports,4700
UKM,2013,primary-utilities,exports,852
UKM,2013,manufacturing,exports,1559
UKM,2013,transport,exports,1817
UKM,2013,travel,exports,2131
UKM,2013,construction,exports,196
UKM,2013,wholesale-motor,exports,134
UKM,2013,retail,exports,58
UKM,2013,information-communication,exports,838
UKM,2013,real-estate,exports,2795
UKM,2013,insurance-pension,exports,2236
UKM,2013,financial,exports,3206
UKM,2013,administrative-support,exports,450
UKM,2013,other,exports,162
UKM,2013,all,exports,16433
UK,2013,primary-utilities,exports,1225
UK,2013,manufacturing,exports,15283
UK,2013,transport,exports,23072
UK,2013,travel,exports,26360
UK,2013,construction,exports,1437
UK,2013,wholesale-motor,exports,8375
UK,2013,retail,exports,1091
UK,2013,information-communication,exports,24567
UK,2013,real-estate,exports,31865
UK,2013,insurance-pension,exports,19489
UK,2013,financial,exports,49513
UK,2013,administrative-support,exports,7200
UK,2013,other,exports,2271
UK,2013,all,exports,211748
UKC,2014,primary-utilities,exports,7
UKC,2014,manufacturing,exports,721
UKC,2014,transport,exports,458
UKC,2014,travel,exports,284
UKC,2014,construction,exports,50
UKC,2014,wholesale-motor,exports,50
UKC,2014,retail,exports,19
UKC,2014,information-communication,exports,169
UKC,2014,real-estate,exports,408
UKC,2014,insurance-pension,exports,310
UKC,2014,financial,exports,807
UKC,2014,administrative-support,exports,67
UKC,2014,other,exports,31
UKC,2014,all,exports,3381
UKD,2014,primary-utilities,exports,26
UKD,2014,manufacturing,exports,3530
UKD,2014,transport,exports,2292
UKD,2014,travel,exports,1461
UKD,2014,construction,exports,107
UKD,2014,wholesale-motor,exports,1419
UKD,2014,retail,exports,70
UKD,2014,information-communication,exports,793
UKD,2014,real-estate,exports,1690
UKD,2014,insurance-pension,exports,2093
UKD,2014,financial,exports,3147
UKD,2014,administrative-support,exports,327
UKD,2014,other,exports,493
UKD,2014,all,exports,17447
UKE,2014,primary-utilities,exports,34
UKE,2014,manufacturing,exports,772
UKE,2014,transport,exports,724
UKE,2014,travel,exports,724
UKE,2014,construction,exports,93
UKE,2014,wholesale-motor,exports,128
UKE,2014,retail,exports,44
UKE,2014,information-communication,exports,469
UKE,2014,real-estate,exports,578
UKE,2014,insurance-pension,exports,520
UKE,2014,financial,exports,2360
UKE,2014,administrative-support,exports,124
UKE,2014,other,exports,47
UKE,2014,all,exports,6616
UKF,2014,primary-utilities,exports,54
UKF,2014,manufacturing,exports,877
UKF,2014,transport,exports,781
UKF,2014,travel,exports,587
UKF,2014,construction,exports,58
UKF,2014,wholesale-motor,exports,230
UKF,2014,retail,exports,39
UKF,2014,information-communication,exports,683
UKF,2014,real-estate,exports,430
UKF,2014,insurance-pension,exports,245
UKF,2014,financial,exports,1288
UKF,2014,administrative-support,exports,135
UKF,2014,other,exports,51
UKF,2014,all,exports,5458
UKG,2014,primary-utilities,exports,17
UKG,2014,manufacturing,exports,627
UKG,2014,transport,exports,718
UKG,2014,travel,exports,1001
UKG,2014,construction,exports,74
UKG,2014,wholesale-motor,exports,222
UKG,2014,retail,exports,72
UKG,2014,information-communication,exports,1089
UKG,2014,real-estate,exports,788
UKG,2014,insurance-pension,exports,1306
UKG,2014,financial,exports,2184
UKG,2014,administrative-support,exports,140
UKG,2014,other,exports,23
UKG,2014,all,exports,8262
UKH,2014,primary-utilities,exports,19
UKH,2014,manufacturing,exports,1603
UKH,2014,transport,exports,1832
UKH,2014,travel,exports,1270
UKH,2014,construction,exports,178
UKH,2014,wholesale-motor,exports,255
UKH,2014,retail,exports,77
UKH,2014,information-communication,exports,1598
UKH,2014,real-estate,exports,2393
UKH,2014,insurance-pension,exports,1357
UKH,2014,financial,exports,1793
UKH,2014,administrative-support,exports,472
UKH,2014,other,exports,44
UKH,2014,all,exports,12891
UKI,2014,primary-utilities,exports,16
UKI,2014,manufacturing,exports,398
UKI,2014,transport,exports,10312
UKI,2014,travel,exports,15542
UKI,2014,construction,exports,1066
UKI,2014,wholesale-motor,exports,1681
UKI,2014,retail,exports,480
UKI,2014,information-communication,exports,14595
UKI,2014,real-estate,exports,14834
UKI,2014,insurance-pension,exports,3526
UKI,2014,financial,exports,25171
UKI,2014,administrative-support,exports,2991
UKI,2014,other,exports,1355
UKI,2014,all,exports,91968
UKJ,2014,primary-utilities,exports,122
UKJ,2014,manufacturing,exports,2061
UKJ,2014,transport,exports,3847
UKJ,2014,travel,exports,2841
UKJ,2014,construction,exports,106
UKJ,2014,wholesale-motor,exports,2150
UKJ,2014,retail,exports,351
UKJ,2014,information-communication,exports,7590
UKJ,2014,real-estate,exports,7419
UKJ,2014,insurance-pension,exports,4508
UKJ,2014,financial,exports,2897
UKJ,2014,administrative-support,exports,980
UKJ,2014,other,exports,402
UKJ,2014,all,exports,35275
UKK,2014,primary-utilities,exports,30
UKK,2014,manufacturing,exports,1517
UKK,2014,transport,exports,955
UKK,2014,travel,exports,1362
UKK,2014,construction,exports,87
UKK,2014,wholesale-motor,exports,373
UKK,2014,retail,exports,94
UKK,2014,information-communication,exports,857
UKK,2014,real-estate,exports,1041
UKK,2014,insurance-pension,exports,1871
UKK,2014,financial,exports,1956
UKK,2014,administrative-support,exports,217
UKK,2014,other,exports,68
UKK,2014,all,exports,10429
UKL,2014,primary-utilities,exports,19
UKL,2014,manufacturing,exports,1151
UKL,2014,transport,exports,377
UKL,2014,travel,exports,483
UKL,2014,construction,exports,28
UKL,2014,wholesale-motor,exports,47
UKL,2014,retail,exports,30
UKL,2014,information-communication,exports,318
UKL,2014,real-estate,exports,205
UKL,2014,insurance-pension,exports,1162
UKL,2014,financial,exports,829
UKL,2014,administrative-support,exports,35
UKL,2014,other,exports,6
UKL,2014,all,exports,4689
UKM,2014,primary-utilities,exports,967
UKM,2014,manufacturing,exports,1451
UKM,2014,transport,exports,2009
UKM,2014,travel,exports,2426
UKM,2014,construction,exports,124
UKM,2014,wholesale-motor,exports,286
UKM,2014,retail,exports,65
UKM,2014,information-communication,exports,827
UKM,2014,real-estate,exports,2994
UKM,2014,insurance-pension,exports,1992
UKM,2014,financial,exports,3235
UKM,2014,administrative-support,exports,439
UKM,2014,other,exports,134
UKM,2014,all,exports,16950
UK,2014,primary-utilities,exports,1311
UK,2014,manufacturing,exports,14708
UK,2014,transport,exports,24305
UK,2014,travel,exports,27981
UK,2014,construction,exports,1970
UK,2014,wholesale-motor,exports,6840
UK,2014,retail,exports,1341
UK,2014,information-communication,exports,28988
UK,2014,real-estate,exports,32780
UK,2014,insurance-pension,exports,18890
UK,2014,financial,exports,45666
UK,2014,administrative-support,exports,5927
UK,2014,other,exports,2655
UK,2014,all,exports,213364
UKC,2015,primary-utilities,exports,2
UKC,2015,manufacturing,exports,760
UKC,2015,transport,exports,572
UKC,2015,travel,exports,411
UKC,2015,construction,exports,20
UKC,2015,wholesale-motor,exports,67
UKC,2015,retail,exports,17
UKC,2015,information-communication,exports,163
UKC,2015,real-estate,exports,389
UKC,2015,insurance-pension,exports,309
UKC,2015,financial,exports,881
UKC,2015,administrative-support,exports,93
UKC,2015,other,exports,15
UKC,2015,all,exports,3699
UKD,2015,primary-utilities,exports,33
UKD,2015,manufacturing,exports,3888
UKD,2015,transport,exports,2311
UKD,2015,travel,exports,1829
UKD,2015,construction,exports,43
UKD,2015,wholesale-motor,exports,1236
UKD,2015,retail,exports,70
UKD,2015,information-communication,exports,809
UKD,2015,real-estate,exports,1997
