Label,Notation,Parent Notation,Sort Priority,Description
Urban planning and landscape architectural activities,71.11/2,71.11,938,
Engineering activities and related technical consultancy,71.12,71.1,939,
Engineering design activities for industrial process and production,71.12/1,71.12,940,
Engineering related scientific and technical consulting activities,71.12/2,71.12,941,
Other engineering activities (not including engineering design for industrial process and production or engineering related scientific and technical consulting activities),71.12/9,71.12,942,
Technical testing and analysis,71.2,71,943,
Technical testing and analysis,71.2,71.2,944,
Scientific research and development,72,M,945,
Research and experimental development on natural sciences and engineering,72.1,72,946,
Research and experimental development on biotechnology,72.11,72.1,947,
Other research and experimental development on natural sciences and engineering,72.19,72.1,948,
Research and experimental development on social sciences and humanities,72.2,72,949,
Research and experimental development on social sciences and humanities,72.2,72.2,950,
Advertising and market research,73,M,951,
Advertising,73.1,73,952,
Advertising agencies,73.11,73.1,953,
Media representation,73.12,73.1,954,
