Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2015,BPM6,poland,total-net-fdi-in-the-uk,all-activities,19.0,
inward,2016,BPM6,poland,total-net-fdi-in-the-uk,all-activities,6.0,
inward,2017,BPM6,poland,total-net-fdi-in-the-uk,all-activities,-4.0,
inward,2018,BPM6,poland,total-net-fdi-in-the-uk,all-activities,28.0,
inward,2019,BPM6,poland,total-net-fdi-in-the-uk,all-activities,3.0,
inward,2010,BPM5,portugal,total-net-fdi-in-the-uk,all-activities,94.0,
inward,2011,BPM5,portugal,total-net-fdi-in-the-uk,all-activities,-81.0,
inward,2012,BPM6,portugal,total-net-fdi-in-the-uk,all-activities,63.0,
inward,2013,BPM6,portugal,total-net-fdi-in-the-uk,all-activities,-18.0,
inward,2014,BPM6,portugal,total-net-fdi-in-the-uk,all-activities,21.0,
inward,2015,BPM6,portugal,total-net-fdi-in-the-uk,all-activities,13.0,
inward,2016,BPM6,portugal,total-net-fdi-in-the-uk,all-activities,3.0,
inward,2017,BPM6,portugal,total-net-fdi-in-the-uk,all-activities,2.0,
inward,2018,BPM6,portugal,total-net-fdi-in-the-uk,all-activities,5.0,
inward,2019,BPM6,portugal,total-net-fdi-in-the-uk,all-activities,12.0,
inward,2010,BPM5,romania,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2011,BPM5,romania,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2012,BPM6,romania,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2013,BPM6,romania,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2014,BPM6,romania,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2015,BPM6,romania,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2016,BPM6,romania,total-net-fdi-in-the-uk,all-activities,2.0,
inward,2017,BPM6,romania,total-net-fdi-in-the-uk,all-activities,2.0,
inward,2018,BPM6,romania,total-net-fdi-in-the-uk,all-activities,-3.0,
inward,2019,BPM6,romania,total-net-fdi-in-the-uk,all-activities,6.0,
inward,2010,BPM5,slovakia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2011,BPM5,slovakia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2012,BPM6,slovakia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2013,BPM6,slovakia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2014,BPM6,slovakia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2015,BPM6,slovakia,total-net-fdi-in-the-uk,all-activities,21.0,
