Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2015,BPM6,Poland,Total Net Fdi In The Uk,All Activities,19.0,
inward,2016,BPM6,Poland,Total Net Fdi In The Uk,All Activities,6.0,
inward,2017,BPM6,Poland,Total Net Fdi In The Uk,All Activities,-4.0,
inward,2018,BPM6,Poland,Total Net Fdi In The Uk,All Activities,28.0,
inward,2019,BPM6,Poland,Total Net Fdi In The Uk,All Activities,3.0,
inward,2010,BPM5,Portugal,Total Net Fdi In The Uk,All Activities,94.0,
inward,2011,BPM5,Portugal,Total Net Fdi In The Uk,All Activities,-81.0,
inward,2012,BPM6,Portugal,Total Net Fdi In The Uk,All Activities,63.0,
inward,2013,BPM6,Portugal,Total Net Fdi In The Uk,All Activities,-18.0,
inward,2014,BPM6,Portugal,Total Net Fdi In The Uk,All Activities,21.0,
inward,2015,BPM6,Portugal,Total Net Fdi In The Uk,All Activities,13.0,
inward,2016,BPM6,Portugal,Total Net Fdi In The Uk,All Activities,3.0,
inward,2017,BPM6,Portugal,Total Net Fdi In The Uk,All Activities,2.0,
inward,2018,BPM6,Portugal,Total Net Fdi In The Uk,All Activities,5.0,
inward,2019,BPM6,Portugal,Total Net Fdi In The Uk,All Activities,12.0,
inward,2010,BPM5,Romania,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2011,BPM5,Romania,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2012,BPM6,Romania,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2013,BPM6,Romania,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2014,BPM6,Romania,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2015,BPM6,Romania,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2016,BPM6,Romania,Total Net Fdi In The Uk,All Activities,2.0,
inward,2017,BPM6,Romania,Total Net Fdi In The Uk,All Activities,2.0,
inward,2018,BPM6,Romania,Total Net Fdi In The Uk,All Activities,-3.0,
inward,2019,BPM6,Romania,Total Net Fdi In The Uk,All Activities,6.0,
inward,2010,BPM5,Slovakia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2011,BPM5,Slovakia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2012,BPM6,Slovakia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2013,BPM6,Slovakia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2014,BPM6,Slovakia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2015,BPM6,Slovakia,Total Net Fdi In The Uk,All Activities,21.0,
